Numero,Area,Centroide_x,Centroide_y
1,22,1.3181818181818181,54.22727272727273
2,1,0.0,53.0
3,1,0.0,54.0
4,1,0.0,55.0
5,1,0.0,56.0
6,1,0.0,57.0
7,1,1.0,51.0
8,1,1.0,52.0
9,1,1.0,53.0
10,1,1.0,54.0
11,1,1.0,55.0
12,1,1.0,56.0
13,1,1.0,57.0
14,1,2.0,52.0
15,1,2.0,53.0
16,1,2.0,54.0
17,1,2.0,55.0
18,1,2.0,56.0
19,1,3.0,53.0
20,1,3.0,54.0
21,1,3.0,55.0
22,1,3.0,56.0
23,796,35.518844221105525,36.3643216080402
24,1,6.0,15.0
25,1,6.0,16.0
26,1,6.0,17.0
27,1,6.0,18.0
28,1,7.0,13.0
29,1,7.0,14.0
30,1,7.0,15.0
31,1,7.0,16.0
32,1,7.0,17.0
33,1,7.0,18.0
34,1,7.0,19.0
35,1,8.0,13.0
36,1,8.0,14.0
37,1,8.0,15.0
38,1,8.0,16.0
39,1,8.0,17.0
40,1,8.0,18.0
41,1,8.0,19.0
42,1,8.0,20.0
43,1,8.0,21.0
44,1,9.0,12.0
45,1,9.0,13.0
46,1,9.0,14.0
47,1,9.0,15.0
48,1,9.0,16.0
49,1,9.0,17.0
50,1,9.0,18.0
51,1,9.0,19.0
52,1,9.0,20.0
53,1,9.0,21.0
54,1,10.0,12.0
55,1,10.0,13.0
56,1,10.0,14.0
57,1,10.0,15.0
58,1,10.0,16.0
59,1,10.0,17.0
60,1,10.0,18.0
61,1,10.0,19.0
62,1,10.0,20.0
63,1,10.0,21.0
64,1,10.0,22.0
65,1,11.0,13.0
66,1,11.0,14.0
67,1,11.0,15.0
68,1,11.0,16.0
69,1,11.0,17.0
70,1,11.0,18.0
71,1,11.0,19.0
72,1,11.0,20.0
73,1,11.0,21.0
74,1,11.0,22.0
75,1,11.0,23.0
76,1,12.0,13.0
77,1,12.0,14.0
78,1,12.0,15.0
79,1,12.0,16.0
80,1,12.0,17.0
81,1,12.0,18.0
82,1,12.0,19.0
83,1,12.0,20.0
84,1,12.0,21.0
85,1,12.0,22.0
86,1,12.0,23.0
87,1,12.0,24.0
88,1,13.0,13.0
89,1,13.0,14.0
90,1,13.0,15.0
91,1,13.0,16.0
92,1,13.0,17.0
93,1,13.0,18.0
94,1,13.0,19.0
95,1,13.0,20.0
96,1,13.0,21.0
97,1,13.0,22.0
98,1,13.0,23.0
99,1,13.0,24.0
100,1,13.0,25.0
101,1,14.0,14.0
102,1,14.0,15.0
103,1,14.0,16.0
104,1,14.0,17.0
105,1,14.0,18.0
106,1,14.0,19.0
107,1,14.0,20.0
108,1,14.0,21.0
109,1,14.0,22.0
110,1,14.0,23.0
111,1,14.0,24.0
112,1,14.0,25.0
113,1250,39.052,236.4952
114,1,14.0,239.0
115,1,14.0,240.0
116,1,14.0,241.0
117,1,14.0,242.0
118,1,14.0,243.0
119,1,14.0,244.0
120,1,14.0,245.0
121,1,14.0,246.0
122,1,15.0,14.0
123,1,15.0,15.0
124,1,15.0,16.0
125,1,15.0,17.0
126,1,15.0,18.0
127,1,15.0,19.0
128,1,15.0,20.0
129,1,15.0,21.0
130,1,15.0,22.0
131,1,15.0,23.0
132,1,15.0,24.0
