Numero,Area,Centroide_x,Centroide_y
1,67,3.4328358208955225,71.38805970149254
2,407,12.093366093366093,106.61425061425061
3,295,6.291525423728814,130.76271186440678
4,181,4.779005524861878,190.939226519337
5,479,16.69937369519833,23.31732776617954
6,716,38.67178770949721,236.2276536312849
7,467,60.29550321199144,57.61456102783726
8,542,65.38929889298893,156.9022140221402
9,571,100.35901926444834,64.66024518388791
10,517,123.03868471953578,215.76982591876208
11,626,128.84984025559106,245.37220447284346
12,533,136.33208255159474,175.5515947467167
13,505,134.84554455445544,105.80594059405941
14,959,167.25026068821688,17.02398331595412
15,487,158.28131416837783,150.26488706365504
16,536,163.17723880597015,63.94589552238806
17,488,171.0512295081967,198.01434426229508
18,326,195.62269938650306,248.93251533742333
19,670,210.18358208955223,65.86865671641792
20,758,220.50263852242745,119.05145118733509
21,250,220.56,241.924
22,564,233.7836879432624,157.95035460992906
23,36,253.13888888888889,234.41666666666666
