Numero,Area,Centroide_x,Centroide_y
1,22,1.3181818181818181,54.22727272727273
2,778,35.55526992287918,36.38174807197944
3,1242,39.01529790660226,236.45169082125605
4,1,30.0,255.0
5,572,56.03671328671329,9.907342657342657
6,609,73.26108374384236,154.30541871921181
7,713,127.20196353436185,238.88078541374475
8,610,127.7672131147541,200.11803278688524
9,537,127.87523277467412,135.23277467411546
10,447,136.27069351230426,90.34228187919463
11,1065,138.9699530516432,25.44788732394366
12,279,170.99641577060933,203.64874551971326
13,912,174.25219298245614,95.28289473684211
14,473,175.0,151.6342494714588
15,371,184.3423180592992,182.1509433962264
16,138,195.42753623188406,251.2753623188406
17,706,204.93342776203966,225.71388101983004
18,341,208.4574780058651,159.47214076246334
19,298,211.69127516778522,189.2751677852349
20,400,241.415,68.44
21,170,249.61764705882354,192.01764705882354
22,139,251.4892086330935,131.19424460431654
23,1,254.0,107.0
24,1,255.0,108.0
