Numero,Area,Centroide_x,Centroide_y
1,391,6.145780051150895,14.322250639386189
2,672,10.813988095238095,137.74553571428572
3,305,6.740983606557377,213.27868852459017
4,912,30.830043859649123,109.37609649122807
5,833,46.104441776710686,150.23889555822328
6,1483,59.263654753877276,40.09103169251517
7,60,48.083333333333336,2.9
8,291,103.1340206185567,21.95189003436426
9,402,104.88805970149254,244.59203980099502
10,1171,132.95132365499572,86.73868488471392
11,1871,146.08711918760022,152.08391234633885
12,88,142.25,252.14772727272728
13,676,174.28550295857988,206.60650887573965
14,518,197.64478764478764,24.274131274131275
15,1816,216.02533039647577,156.9476872246696
16,744,211.34677419354838,226.76075268817203
17,420,227.05238095238096,37.14523809523809
18,430,230.70232558139534,94.36511627906977
19,301,245.82724252491695,248.41196013289036
20,315,246.42857142857142,10.647619047619047
21,101,251.63366336633663,173.56435643564356
22,1,255.0,160.0
