Numero,Area,Centroide_x,Centroide_y
1,395,5.974683544303797,196.6987341772152
2,386,17.512953367875646,79.63471502590673
3,573,28.18848167539267,120.6823734729494
4,1480,59.24324324324324,223.0858108108108
5,327,47.62385321100918,176.61162079510703
6,564,61.81382978723404,67.7482269503546
7,664,87.76204819277109,130.98042168674698
8,289,103.15570934256056,204.92041522491348
9,696,110.90086206896552,31.76867816091954
10,67,130.07462686567163,252.80597014925374
11,690,142.22898550724636,54.35507246376812
12,597,144.25125628140702,153.8827470686767
13,440,175.0681818181818,151.7159090909091
14,346,179.06069364161849,78.61560693641619
15,841,195.64565992865636,118.15933412604043
16,517,197.58027079303676,207.28626692456479
17,583,193.83704974271012,15.641509433962264
18,365,228.22739726027396,95.30410958904109
19,421,227.05463182897861,220.07363420427552
20,476,235.21218487394958,12.90126050420168
21,287,245.97909407665506,194.4878048780488
22,334,246.79640718562874,121.66467065868264
23,200,249.65,37.345
24,144,251.11111111111111,149.75
