Numero,Area,Centroide_x,Centroide_y
1,21,1.2380952380952381,54.142857142857146
2,774,35.541343669250644,36.348837209302324
3,1241,39.0290088638195,236.43835616438355
4,1,30.0,255.0
5,566,56.15194346289753,9.87279151943463
6,607,73.24546952224053,154.30971993410213
7,709,127.14950634696756,238.90550070521863
8,608,127.77138157894737,200.10855263157896
9,533,127.88180112570356,135.24765478424015
10,445,136.25842696629215,90.29887640449438
11,1055,138.9298578199052,25.52132701421801
12,279,170.99641577060933,203.64874551971326
13,906,174.24834437086093,95.2924944812362
14,469,175.01492537313433,151.67164179104478
15,367,184.36784741144413,182.18256130790192
16,137,195.43795620437956,251.31386861313868
17,705,204.93191489361703,225.69787234042553
18,338,208.50887573964496,159.45857988165682
19,292,211.71917808219177,189.3082191780822
20,399,241.3859649122807,68.41854636591479
21,169,249.62721893491124,192.05917159763314
22,139,251.4892086330935,131.19424460431654
23,1,254.0,107.0
24,1,255.0,108.0
