Numero,Area,Centroide_x,Centroide_y
1,22,1.3181818181818181,54.22727272727273
2,804,35.5,36.365671641791046
3,1263,39.0110847189232,236.52969121140143
4,1,30.0,255.0
5,581,56.07401032702238,9.989672977624785
6,617,73.20907617504052,154.24473257698543
7,722,127.13850415512465,238.89612188365652
8,618,127.80097087378641,200.09546925566343
9,543,127.8305709023941,135.1878453038674
10,452,136.24557522123894,90.3141592920354
11,1104,139.0298913043478,25.17663043478261
12,290,171.08965517241379,203.6344827586207
13,934,174.19914346895075,95.2441113490364
14,483,175.05175983436854,151.6086956521739
15,383,184.45430809399477,182.0939947780679
16,140,195.45,251.22142857142856
17,714,204.97058823529412,225.69747899159663
18,345,208.39420289855073,159.4927536231884
19,311,211.62700964630224,189.18971061093248
20,407,241.43734643734643,68.45454545454545
21,170,249.61764705882354,192.01764705882354
22,142,251.51408450704224,131.00704225352112
23,3,254.33333333333334,107.66666666666667
