Numero,Area,Centroide_x,Centroide_y,R,G,B
1,222,5.558558558558558,33.5045045045045,0,255,0
2,38,1.9473684210526316,117.07894736842105,0,0,255
3,706,16.652974504249293,148.30736543909347,255,255,0
4,101,3.9702970297029703,186.21782178217822,128,0,0
5,430,21.44418604651163,86.64186046511628,0,128,0
6,896,24.116071428571427,216.203125,0,0,128
7,459,23.021786492374726,12.830065359477125,0,255,255
8,402,24.72139303482587,118.2587064676617,255,0,255
9,383,65.90600522193212,131.3289817232376,128,0,128
10,1347,70.21603563474387,183.2160356347439,0,128,0
11,450,73.1511111111111,34.053333333333335,166,208,92
12,462,73.2965367965368,68.28354978354979,131,214,167
13,475,92.73263157894736,240.98736842105262,180,71,209
14,456,107.89912280701755,85.95614035087719,218,121,144
15,449,109.65478841870824,208.11135857461025,255,0,0
16,447,108.54362416107382,147.05369127516778,0,255,0
17,596,130.66442953020135,44.307046979865774,0,0,255
18,330,127.05757575757576,247.73939393939395,255,255,0
19,420,148.5047619047619,69.78095238095239,128,0,0
20,940,172.0723404255319,219.82765957446807,0,128,0
21,433,161.2771362586605,113.57967667436489,0,0,128
22,560,173.23214285714286,30.835714285714285,0,255,255
23,357,186.6638655462185,101.14565826330532,255,0,255
24,442,190.6606334841629,181.0452488687783,128,0,128
25,387,213.16795865633074,136.58397932816538,0,128,0
26,10,204.0,0.5,166,208,92
27,397,219.24937027707807,90.83879093198992,131,214,167
28,187,219.14973262032086,250.80748663101605,180,71,209
29,362,220.99171270718233,197.01657458563537,218,121,144
30,295,237.06101694915253,45.62033898305085,255,0,0
31,418,244.04306220095694,220.67224880382776,0,255,0
32,8,254.625,86.0,0,0,255
