Numero,Area,Centroide_x,Centroide_y
1,395,5.974683544303797,196.6987341772152
2,391,17.462915601023017,79.62148337595907
3,584,28.111301369863014,120.68664383561644
4,1485,59.21750841750842,223.03636363636363
5,329,47.62613981762918,176.67477203647417
6,565,61.796460176991154,67.73805309734513
7,665,87.77744360902255,130.9593984962406
8,289,103.15570934256056,204.92041522491348
9,697,110.90243902439025,31.796269727403157
10,67,130.07462686567163,252.80597014925374
11,691,142.24167872648337,54.3328509406657
12,597,144.25125628140702,153.8827470686767
13,441,175.0453514739229,151.7074829931973
14,347,179.03458213256485,78.60806916426513
15,843,195.644128113879,118.18861209964413
16,519,197.5529865125241,207.3121387283237
17,584,193.84931506849315,15.662671232876713
18,366,228.2568306010929,95.31147540983606
19,424,227.10849056603774,220.08962264150944
20,477,235.18867924528303,12.89727463312369
21,288,246.0,194.45833333333334
22,334,246.79640718562874,121.66467065868264
23,202,249.64851485148515,37.43069306930693
24,144,251.11111111111111,149.75
