Numero,Area,Centroide_x,Centroide_y
1,67,3.4328358208955225,71.38805970149254
2,406,12.113300492610838,106.63300492610837
3,295,6.291525423728814,130.76271186440678
4,181,4.779005524861878,190.939226519337
5,478,16.679916317991633,23.307531380753137
6,716,38.67178770949721,236.2276536312849
7,466,60.2961373390558,57.57510729613734
8,542,65.38929889298893,156.9022140221402
9,570,100.3438596491228,64.68070175438596
10,517,123.03868471953578,215.76982591876208
11,626,128.84984025559106,245.37220447284346
12,532,136.31015037593986,175.56954887218046
13,504,134.82539682539684,105.79960317460318
14,322,150.00310559006212,22.282608695652176
15,486,158.29218106995884,150.2448559670782
16,536,163.17723880597015,63.94589552238806
17,487,171.03490759753595,198.04106776180697
18,636,175.9937106918239,14.371069182389936
19,325,195.6030769230769,248.9476923076923
20,670,210.18358208955223,65.86865671641792
21,758,220.50263852242745,119.05145118733509
22,249,220.56224899598394,241.94779116465864
23,564,233.7836879432624,157.95035460992906
24,35,253.0857142857143,234.5142857142857
