Numero,Area,Centroide_x,Centroide_y
1,22,1.3181818181818181,54.22727272727273
2,776,35.53865979381443,36.37242268041237
3,1242,39.01529790660226,236.45169082125605
4,1,30.0,255.0
5,572,56.03671328671329,9.907342657342657
6,608,73.25822368421052,154.32565789473685
7,710,127.16056338028169,238.8887323943662
8,610,127.7672131147541,200.11803278688524
9,537,127.87523277467412,135.23277467411546
10,447,136.27069351230426,90.34228187919463
11,1062,138.9331450094162,25.43126177024482
12,279,170.99641577060933,203.64874551971326
13,910,174.25494505494507,95.27912087912088
14,473,175.0,151.6342494714588
15,369,184.34146341463415,182.15989159891598
16,138,195.42753623188406,251.2753623188406
17,706,204.93342776203966,225.71388101983004
18,340,208.48823529411766,159.46176470588236
19,297,211.73400673400673,189.24242424242425
20,400,241.415,68.44
21,170,249.61764705882354,192.01764705882354
22,139,251.4892086330935,131.19424460431654
23,1,254.0,107.0
24,1,255.0,108.0
