Numero,Area,Centroide_x,Centroide_y,R,G,B
1,67,3.4328358208955225,71.38805970149254,0,255,0
2,406,12.113300492610838,106.63300492610837,0,0,255
3,295,6.291525423728814,130.76271186440678,255,255,0
4,181,4.779005524861878,190.939226519337,128,0,0
5,479,16.69937369519833,23.31732776617954,0,128,0
6,716,38.67178770949721,236.2276536312849,0,0,128
7,467,60.29550321199144,57.61456102783726,0,255,255
8,542,65.38929889298893,156.9022140221402,255,0,255
9,571,100.35901926444834,64.66024518388791,128,0,128
10,517,123.03868471953578,215.76982591876208,0,128,0
11,626,128.84984025559106,245.37220447284346,166,208,92
12,532,136.31015037593986,175.56954887218046,131,214,167
13,504,134.82539682539684,105.79960317460318,180,71,209
14,959,167.25026068821688,17.02398331595412,218,121,144
15,487,158.28131416837783,150.26488706365504,255,0,0
16,536,163.17723880597015,63.94589552238806,0,255,0
17,487,171.03490759753595,198.04106776180697,0,0,255
18,326,195.62269938650306,248.93251533742333,255,255,0
19,670,210.18358208955223,65.86865671641792,128,0,0
20,758,220.50263852242745,119.05145118733509,0,128,0
21,250,220.56,241.924,0,0,128
22,564,233.7836879432624,157.95035460992906,0,255,255
23,36,253.13888888888889,234.41666666666666,255,0,255
